city_id,population,education_level,median_income
0/0/0,9868.0,5,1478.7326609938862
0/1/0,15542.0,5,1553.1162454055998
0/4/0,7446.0,6,1612.926621911499
0/6/0,887.0,6,1331.9232814254856
0/7/0,15772.0,6,1747.2767264285892
0/7/1,9836.0,6,1697.0753741354176
0/8/0,14224.0,6,1710.2041666304913
0/9/0,23215.0,6,1953.5397863614728
0/9/1,2029.0,5,1403.120891095178
0/10/0,25058.0,6,1835.2749570246788
0/11/0,4418.0,6,1555.5569946265796
0/13/0,3932.0,5,1431.1147591869983
0/15/0,3218.0,5,1343.638979635537
0/17/0,3214.0,5,1272.7998945338377
0/17/1,12467.0,4,
0/18/0,6539.0,4,1183.7022236286616
0/20/0,6997.0,4,1317.4039638562338
0/22/0,1253.0,3,
0/26/0,4894.0,5,1489.6072449412547
0/30/0,27390.0,7,1882.8574725636424
0/30/1,7102.0,7,1750.4691409188379
0/31/0,1345.0,6,1351.9663996888103
0/31/1,7135.0,6,1662.9048189575788
0/32/0,79204.0,7,2033.0967954015246
0/32/1,407.0,6,1292.8509970401242
0/33/0,8507.0,7,1860.891226763865
0/34/0,5782.0,7,1726.2629892914667
0/35/0,21810.0,7,1876.1547415178154
0/35/1,5465.0,6,1686.5162891119362
0/38/0,30694.0,7,1956.009513510625
0/38/1,36080.0,7,1944.9400886690785
0/39/0,9192.0,7,1822.3636487679078
0/40/0,588.0,6,1327.0809915496482
0/40/1,515.0,5,1230.2725130481347
0/41/0,613.0,5,1151.9288263577096
0/42/0,3696.0,5,1410.3748989124365
0/43/0,8579.0,5,1401.191215252752
0/44/0,40436.0,5,1559.6052624856748
0/44/1,721.0,5,1395.17387106255
0/45/0,10100.0,6,1675.833322833526
0/45/1,16230.0,5,1760.4374738159056
0/46/0,7152.0,6,1621.3630595473805
0/46/1,15929.0,6,1769.7015461202911
0/47/0,2042.0,5,1369.4769704463897
0/48/0,10371.0,5,1640.3407229935603
0/50/0,965.0,4,939.5031574233836
0/51/0,32861.0,5,1715.3818039123119
0/53/0,23672.0,5,1842.3893627190043
0/55/0,25547.0,5,1694.8051571991195
0/56/0,20585.0,4,1390.4500805078558
