id,city_id,price,store_id,quantity,ad_level
0,0/0/0,6.0,0,2240.0,6.0
3,0/4/0,6.0,0,2558.0,3.0
11,0/9/1,5.25,0,2316.0,2.0
14,0/11/0,6.25,0,2276.0,5.0
15,0/13/0,6.0,0,1800.0,2.0
16,0/15/0,5.25,0,2640.0,6.0
17,0/17/0,5.0,0,2208.0,2.0
20,0/18/0,5.75,0,1938.0,3.0
21,0/20/0,6.75,0,1200.0,2.0
24,0/30/0,5.5,0,2500.0,1.0
25,0/30/1,5.5,0,2460.0,2.0
27,0/31/1,6.5,0,2765.0,3.0
33,0/33/0,6.25,0,2080.0,6.0
37,0/38/0,6.75,0,752.0,5.0
38,0/38/0,6.5,1,497.0,1.0
39,0/38/0,6.0,2,1465.0,6.0
40,0/38/0,6.25,3,1137.0,5.0
45,0/40/0,5.25,0,1607.0,3.0
46,0/40/1,6.0,0,1050.0,6.0
47,0/41/0,6.75,0,500.0,1.0
49,0/43/0,5.0,0,2520.0,2.0
50,0/44/0,6.75,0,780.0,6.0
51,0/44/0,6.75,1,488.0,1.0
52,0/44/0,7.0,2,423.0,0.0
53,0/44/0,6.75,3,439.0,0.0
54,0/44/0,5.75,4,618.0,0.0
55,0/44/1,6.5,0,2119.0,3.0
61,0/46/1,5.5,0,2375.0,2.0
62,0/46/1,6.25,1,1327.0,0.0
64,0/48/0,5.75,0,1885.0,1.0
65,0/48/0,7.0,1,1644.0,5.0
67,0/51/0,6.25,0,2120.0,5.0
68,0/51/0,6.25,1,1350.0,1.0
69,0/51/0,6.25,2,2160.0,6.0
70,0/53/0,5.5,0,1888.0,2.0
71,0/53/0,5.25,1,2106.0,2.0
72,0/53/0,6.0,2,1256.0,1.0
73,0/55/0,6.0,0,757.0,
74,0/55/0,6.25,1,598.0,0.0
75,0/55/0,5.25,2,1629.0,2.0
76,0/55/0,6.25,3,998.0,3.0
82,0/58/0,6.75,0,440.0,1.0
83,0/58/0,6.25,1,737.0,3.0
84,0/58/0,5.0,2,892.0,3.0
85,0/58/0,5.0,3,951.0,6.0
86,0/58/0,6.5,4,549.0,2.0
87,0/58/0,6.0,5,743.0,3.0
88,0/58/0,6.75,6,528.0,2.0
89,0/58/0,6.25,7,571.0,2.0
90,0/58/1,5.0,0,3995.0,6.0
93,0/62/0,6.75,0,698.0,5.0
94,0/62/0,6.5,1,692.0,3.0
95,0/62/0,6.0,2,785.0,5.0
96,0/62/0,5.75,3,809.0,3.0
97,0/62/0,5.5,4,655.0,2.0
98,0/62/0,5.0,5,942.0,5.0
99,0/62/0,6.75,6,533.0,2.0
100,0/62/0,6.0,7,750.0,3.0
101,0/62/1,5.75,0,3963.0,3.0
107,0/65/1,5.5,0,3239.0,3.0
108,0/65/1,6.0,1,2761.0,3.0
110,0/66/1,5.75,0,2617.0,6.0
111,0/67/0,5.5,0,1099.0,5.0
112,0/68/0,7.0,0,1440.0,2.0
117,0/70/0,6.75,0,1500.0,3.0
118,0/72/0,5.5,0,2708.0,5.0
119,0/72/0,6.0,1,2223.0,6.0
120,0/73/0,5.5,0,2160.0,6.0
122,0/76/0,6.0,0,2486.0,3.0
123,0/76/0,5.0,1,2838.0,2.0
133,0/79/1,6.5,0,2402.0,5.0
134,0/80/0,6.25,0,1078.0,1.0
135,0/80/1,6.25,0,1616.0,5.0
136,0/80/1,5.25,1,2380.0,2.0
137,0/80/1,6.75,2,1055.0,3.0
140,0/85/0,6.0,0,2072.0,0.0
141,0/85/0,5.25,1,4952.0,6.0
143,0/86/0,5.25,0,2629.0,1.0
144,0/86/0,7.0,1,1071.0,1.0
145,0/86/0,5.75,2,3052.0,3.0
146,0/86/1,6.0,0,1500.0,1.0
147,0/87/0,5.5,0,2198.0,5.0
149,0/90/0,6.25,0,528.0,2.0
