id,quantity
1,3602
2,2783
4,2198
5,3125
6,2707
7,3194
8,1924
9,3513
10,3440
12,2623
13,4878
18,1648
19,2800
22,869
23,2265
26,737
28,1011
29,1147
30,1432
31,1339
32,957
34,1685
35,3124
36,1715
41,1232
42,1034
43,762
44,3486
48,1611
56,1665
57,2824
58,1459
59,3146
60,3577
63,1947
66,737
77,2004
78,2486
79,4222
80,3642
81,1883
91,2267
92,1839
102,1626
103,3006
104,1412
105,2599
106,1416
109,3064
113,1426
114,838
115,998
116,1591
121,1390
124,1504
125,2554
126,1191
127,2281
128,873
129,2018
130,737
131,2158
132,2673
138,2619
139,1910
142,3218
148,2939
160,737
165,4097
169,1948
172,3470
173,1768
176,2051
178,3501
179,1198
180,3608
181,3718
182,1701
188,2306
192,627
193,560
194,637
195,1308
196,580
197,2066
200,2783
202,4000
203,2559
212,1368
213,2608
214,1067
222,2714
223,1371
229,1948
233,3919
234,1906
235,737
236,2145
240,2552
241,2883
246,1536
248,1573
249,1280
250,1826
252,1312
253,1551
254,1506
255,1502
258,1148
259,737
260,1840
261,1103
266,728
274,2740
276,1503
277,1721
278,2855
280,1135
281,3623
283,1432
287,1327
288,3285
289,2013
290,1361
295,3909
297,2200
298,1872
306,1195
321,2211
330,737
331,1800
332,2448
335,916
336,1251
337,1374
338,1330
339,1540
340,3036
341,4226
342,1022
348,2332
355,3109
356,1969
381,1454
382,1595
406,2042
407,1780
413,3133
414,1400
415,3077
421,2387
422,2437
423,1087
426,1335
427,1112
428,2834
433,2414
434,1885
435,1374
441,2197
446,3075
449,1198
452,2918
453,2070
458,2979
462,940
464,2745
471,852
472,1691
473,422
474,648
475,756
476,839
477,1031
478,1010
485,1061
487,3029
489,1738
498,1503
499,1104
500,1281
501,2577
502,1670
503,1765
505,2081
506,1785
507,1109
508,742
509,1397
510,1325
511,1269
512,1671
515,2502
516,1575
517,3206
518,1922
523,2066
524,2248
525,585
526,1362
527,977
528,928
529,1608
530,2953
532,1427
533,3216
550,2741
556,3338
557,2485
564,2257
570,3274
573,2105
574,2300
575,1001
576,2100
580,2169
581,1506
593,1760
595,1566
596,725
597,993
598,951
599,945
600,1200
602,1966
604,1886
605,1705
606,2380
610,2213
618,1194
619,1459
620,1578
622,1900
623,4110
624,2496
627,1636
628,1658
629,1572
630,737
633,1036
634,1551
635,1688
638,900
650,4020
657,2672
658,1857
659,856
660,2086
664,1577
667,3244
672,1508
673,3241
674,2003
675,1593
676,993
683,3771
684,2428
685,3359
689,1691
693,2046
694,1620
696,2431
697,2690
698,1138
699,2798
718,1760
719,2095
720,1796
721,2409
725,2875
726,737
727,3429
728,1415
730,647
731,825
732,1149
733,767
734,895
735,748
748,1308
749,3544
750,2255
753,3053
759,1880
761,2443
765,1896
766,1844
767,908
768,2355
769,1707
771,737
773,3375
774,1794
793,3883
794,2185
799,2995
800,737
802,1742
803,2328
804,2237
805,2897
812,3931
813,3692
815,1210
816,2150
844,1774
850,4214
853,991
854,2648
855,2749
858,2527
859,2038
866,1351
867,612
868,1347
869,850
874,3838
875,1511
879,2135
880,1974
894,2124
901,1233
910,1116
917,3727
918,3050
919,1822
927,4671
928,2799
930,1555
931,2767
932,2968
935,1606
936,3376
937,2440
938,961
939,2032
940,1629
943,827
944,623
945,1046
946,716
948,2243
949,1710
955,2624
956,2982
958,1940
961,2249
962,2572
964,2631
965,737
966,1320
968,1932
969,1998
970,1640
977,2776
978,732
979,2453
980,3322
982,2635
983,1707
984,2701
985,4186
986,1846
987,1685
989,2921
990,2723
993,737
1004,3020
1005,2426
1013,3111
1016,2846
1017,2336
1021,2154
1043,867
1044,4548
1045,1909
1049,1363
1050,2322
1051,1197
1053,1296
1055,1689
1056,2494
1057,1187
1058,951
1060,2770
1065,3239
1066,3710
1067,2427
1068,2384
1074,1762
1075,5276
1076,1049
1079,1330
1080,737
1081,1786
1085,1868
1086,3802
1087,2449
1090,1115
1093,2518
1094,1367
1095,1971
1099,737
1110,3094
1118,1291
1128,1255
1129,2087
1130,3094
1131,2849
1132,986
1133,1475
1134,2454
1137,3064
1138,2099
1140,1670
1141,2317
1143,2948
1144,3466
1163,2120
1169,3182
1170,1836
1171,2541
1172,1686
1175,673
1179,2201
1188,2295
1194,4225
1199,1352
1205,1103
1206,2500
1207,1493
1211,2324
1212,1094
1216,1718
1239,2388
1240,2088
1242,442
1243,692
1244,597
1245,699
1246,632
1247,647
1248,819
1249,462
1250,671
1251,5532
1252,3590
1254,1499
1255,2312
1256,1447
1257,1652
1258,1704
1259,1223
1260,1023
1261,1607
1262,984
1263,1858
1269,2333
1271,3454
1296,2344
1300,2412
1301,3081
1314,4481
1315,2486
1316,737
1317,1631
1318,3599
1319,2643
1320,2504
1325,2360
1326,2801
1327,1001
1328,2527
1329,1864
1330,2206
1331,1606
1338,1824
1345,2358
1346,2822
1347,1128
1355,1777
1372,2559
1376,1010
1377,1431
1379,2915
1380,3017
1381,1688
1382,808
1383,437
1384,805
1385,737
1386,542
1387,863
1388,717
1389,534
1390,722
1408,2107
1409,1345
1410,2523
1412,778
1413,442
1414,680
1415,914
1416,722
1417,675
1418,848
1419,844
1420,958
1421,493
1422,3758
1423,2867
1424,1589
1427,2186
1430,2295
